33;O setor de energia é responsável por mais de 70% das emissões globais de gases de efeito estufa, segundo dados do IPCC.;2;V;M
34;A COP trata apenas de acordos técnicos entre governos e não permite a participação de cientistas, organizações civis e povos indígenas.;2;F;F
35;O Acordo de Paris determina que os países signatários devem zerar todas as emissões de gases de efeito estufa até 2030, sem exceções.;2;F;F
36;Os relatórios do IPCC são considerados os documentos científicos mais relevantes nas negociações climáticas internacionais.;2;V;M
37;Em 2024, a temperatura média global ultrapassou pela primeira vez o limite de 1,5°C de aquecimento em relação aos níveis pré-industriais, conforme dados da agência Copernicus.;2;V;D
38;Países africanos são os maiores emissores de gases de efeito estufa devido ao uso intensivo de carvão mineral.;2;F;F
39;A Noruega gera quase toda a sua eletricidade a partir de fontes renováveis, principalmente hidrelétricas, sendo considerada uma referência em energia limpa.;2;V;M
40;A principal meta da COP30 será eliminar completamente o uso de energia solar e eólica até 2040, por serem fontes instáveis e de baixa eficiência.;2;F;F
41;O Rinoceronte-branco-do-norte está funcionalmente extinto.;7;V;M
42;O jacaré-de-papo-amarelo está entre os top 10 animais com risco de extinção.;7;F;M
43;Desde 2024, o boto-cor-de-rosa não é mais considerado um animal com risco de extinção.;7;F;M
44;A pesca no período da piracema ajuda a preservar muitas espécies de peixes.;7;F;M
45;A agricultura contribui na preservação de habitats naturais.;7;F;F
46;A Indonésia é um dos países com o maior número de animais ameaçados de extinção do planeta.;7;V;M
47;Países europeus possuem o maior número de animais ameaçados de extinção comparado a outros continentes.;7;F;M
48;O cuíca-preta (Chiropotes satanas) é um mamífero que pode ser encontrado na Amazônia, está espécie de macaco vem sofrendo com a caça predatória e desmatamento de seu habitat, causando assim escassez de alimentos, já que os frutos das árvores são fundamentais para sua sobrevivência, estando assim ameaçado de extinção.;7;V;D
49;O lobo-ibérico é considerado uma espécie extinta em Portugal.;7;F;F
50;Das espécies ameaçadas de extinção avaliadas pela Lista Vermelha de Espécies Ameaçadas da IUCN, aproximadamente 40% dessas espécies são anfíbios.;7;V;D
51;A tartaruga gigante de Galápagos é considerada um animal extinto.;7;F;M
52;Política pública sustentável trata-se de uma abordagem que busca promover o crescimento econômico, social e ambiental de forma equilibrada considerando a conservação dos recursos naturais e a melhoria da qualidade de vida.;8;V;M
53;O Brasil não possui metas nacionais de redução de emissões de carbono.;8;F;F
54;A Política Nacional de Educação Ambiental (Lei nº 9.795/1999) determina que o ensino da sustentabilidade deve ocorrer apenas em universidades.;8;F;F
55;O governo brasileiro extinguiu todos os programas voltados à preservação da Amazônia em 2020.;8;F;F
56;O desenvolvimento sustentável tenta equilibrar o progresso econômico com o cuidado com o meio ambiente.;8;V;M
57;O IBAMA permite o desmatamento em qualquer área desde que seja para ampliação da produção agrícola.;8;F;M
58;Usar energia solar é uma forma de colocar em prática a ideia de sustentabilidade.;8;V;F
59;Os principais biomas sendo os mais queimados no Brasil são a Amazônia e o Cerrado.;3;V;F
60;Por ser um meio mais fácil e seguro, que não causa tantos danos à natureza, muitas pessoas limpam uma certa área utilizando o fogo.;3;F;F
61;No Brasil, os principais meses em que ocorrem as queimadas são agosto e setembro.;3;V;F
62;A maior parte das queimadas ocorre por meios naturais.;3;F;F
63;Comparado com o ano de 2024, o número de queimadas no Brasil caiu muito em 2025.;3;F;M
64;As emissões de metano (CH4) por queimadas na Amazônia representam menos de 5% do total global de CH4 por queima de biomassa.;3;F;D
65;A pecuária é uma das atividades que mais utilizam queimadas no Brasil.;3;V;M
66;A agricultura sustentável visa otimizar o uso de recursos naturais, como solo e água, reduzindo custos e evitando o desperdício.;3;V;M
67;A agricultura sustentável deve garantir condições seguras de trabalho e respeito aos direitos dos trabalhadores rurais.;4;V;F
68;A rotação de culturas é uma prática sustentável.;4;V;F
69;A produção de gado sustentável deve considerar apenas o bem-estar animal, não tendo impacto na conservação do solo ou das florestas.;4;F;M
70;Agrotóxicos fortalecem o controle biológico.;4;F;D
71;Queimar a palha da colheita é uma prática sustentável.;4;F;D
72;O manejo sustentável do solo inclui práticas que aumentam o teor de matéria orgânica, o que ajuda no sequestro de carbono da atmosfera.;4;V;M
73;A compostagem reduz o lixo orgânico que seria enviado para aterros.;4;V;F
74;Os três principais tipos de terremotos são os tectônicos, os vulcânicos e os de colapso.;6;V;F
75;O Brasil teve 108 terremotos em 2024.;6;V;M
76;O Japão é muito afetado por tsunamis porque está localizado no Círculo de Fogo do Pacífico, uma área com alta atividade sísmica devido ao encontro de várias placas tectônicas.;6;V;M
77;Um tsunami é causado pelo deslocamento súbito de um grande volume de água.;6;V;F

